HOUR,PRICE
1058,325.25
1059,325.93
1060,326.55
1061,325.84
1062,324.73
1063,325.34
1064,325.98
1065,325.22
1066,327.59
1067,326.0
1068,326.39
1069,326.14
1070,326.22
1071,328.75
1072,328.75
1073,325.48
1074,327.51
1075,326.43
1076,326.43
1077,326.43
1078,324.92
1079,324.22
1080,320.99
1081,323.46
1082,324.19
1083,324.19
1084,324.19
1085,323.07
1086,322.47
1087,323.07
1088,324.49
1089,324.38
1090,324.37
1091,324.0
1092,324.0
1093,324.17
1094,324.17
1095,324.17
1096,321.91
1097,321.91
1098,323.59
1099,323.76
1100,323.76
1101,323.76
1102,323.76
1103,323.76
1104,323.76
1105,326.0
1106,325.97
1107,325.0
1108,325.5
1109,325.51
1110,325.8
1111,323.98
1112,324.97
1113,322.87
1114,323.09
1115,321.52
1116,321.87
1117,319.59
1118,320.11
1119,319.61
1120,319.61
1121,319.61
1122,319.94
1123,320.74
1124,320.3
1125,320.3
1126,320.9
1127,320.9
1128,320.74
1129,321.0
1130,321.12
1131,321.99
1132,322.19
1133,322.01
1134,320.99
1135,319.68
1136,321.0
1137,319.61
1138,317.52
1139,317.52
1140,319.22
1141,317.9
1142,315.21
1143,315.21
1144,320.98
1145,320.98
1146,320.98
1147,320.98
1148,317.33
1149,317.33
1150,324.99
1151,323.07
1152,325.52
1153,323.72
1154,325.82
1155,324.4
1156,326.99
1157,326.01
1158,329.0
1159,330.0
1160,328.01
1161,327.5
1162,327.58
1163,334.93
1164,332.0
1165,329.98
1166,329.98
1167,332.0
1168,332.5
1169,334.79
1170,335.01
1171,341.87
1172,339.0
1173,347.5
1174,355.0
1175,353.29
1176,353.79
1177,352.06
1178,345.0
1179,342.0
1180,343.27
1181,350.0
1182,343.05
1183,345.87
1184,351.0
1185,350.28
1186,355.78
1187,350.17
1188,351.69
1189,350.82
1190,350.82
1191,348.79
1192,348.79
1193,350.34
1194,350.33
1195,360.03
1196,361.13
1197,361.13
1198,359.13
1199,359.91
1200,355.91
1201,352.01
1202,356.44
1203,360.01
1204,365.0
1205,361.5
1206,358.0
1207,358.53
1208,363.98
1209,360.0
1210,359.26
1211,352.0
1212,358.49
1213,355.13
1214,353.78
1215,355.0
1216,359.99
1217,356.17
1218,356.17
1219,356.89
1220,353.9
1221,354.57
1222,354.25
1223,352.96
1224,352.53
1225,352.53
1226,353.78
1227,354.0
1228,357.0
1229,357.0
1230,357.2
1231,357.5
1232,357.5
1233,355.33
1234,357.0
1235,357.0
1236,357.0
1237,357.0
1238,357.01
1239,354.01
1240,354.55
1241,355.41
1242,355.41
1243,357.0
1244,357.0
1245,357.0
1246,360.0
1247,359.47
1248,359.46
1249,359.85
1250,363.38
1251,363.39
1252,364.98
1253,362.59
1254,362.2
1255,365.0
1256,366.69
1257,373.0
1258,370.0
1259,380.0
1260,377.11
1261,375.85
1262,373.87
1263,374.5
1264,377.0
1265,377.0
1266,377.0
1267,378.23
1268,379.0
1269,377.75
1270,377.52
1271,377.52
1272,375.0
1273,375.72
1274,377.0
1275,373.01
1276,375.01
1277,375.0
1278,377.0
1279,375.0
1280,376.23
1281,380.99
1282,377.2
1283,377.37
1284,377.02
1285,376.58
1286,377.32
1287,376.1
1288,377.2
1289,376.32
1290,376.77
1291,360.01
1292,364.3
1293,360.83
1294,360.45
1295,364.34
1296,361.85
1297,362.0
1298,364.56
1299,360.87
1300,359.01
1301,364.0
1302,363.05
1303,361.76
1304,363.0
1305,364.0
1306,363.9
1307,352.0
1308,349.0
1309,352.45
1310,352.52
1311,352.19
1312,353.81
1313,353.81
1314,354.76
1315,354.78
1316,352.37
1317,352.37
1318,352.37
1319,351.79
1320,351.79
1321,359.5
1322,358.3
1323,359.0
1324,363.0
1325,359.25
1326,359.25
1327,360.99
1328,361.99
1329,361.0
1330,361.01
1331,359.9
1332,359.56
1333,362.44
1334,365.21
1335,368.94
1336,369.14
1337,363.41
1338,364.99
1339,360.92
1340,363.5
1341,358.38
1342,360.0
1343,361.0
1344,362.19
1345,362.0
1346,359.0
1347,360.1
1348,364.0
1349,364.0
1350,363.02
1351,363.82
1352,361.06
1353,362.6
1354,363.0
1355,362.5
1356,356.63
1357,356.0
1358,358.5
1359,360.0
1360,360.0
1361,360.0
1362,361.0
1363,359.99
1364,359.0
1365,360.01
1366,358.78
1367,359.56
1368,359.56
1369,361.0
1370,363.0
1371,364.48
1372,362.06
1373,361.45
1374,363.81
1375,362.0
1376,363.25
1377,359.45
1378,362.64
1379,362.6
1380,366.49
1381,367.31
1382,369.2
1383,371.37
1384,371.0
1385,374.35
1386,372.58
1387,371.0
1388,371.34
1389,379.0
1390,381.43
1391,375.84
1392,377.94
1393,372.4
1394,377.05
1395,377.44
1396,378.04
1397,376.53
1398,376.53
1399,377.95
1400,378.03
1401,389.9
1402,385.82
1403,393.06
1404,394.99
1405,391.91
1406,392.66
1407,393.65
1408,401.48
1409,398.3
1410,391.71
1411,391.71
1412,392.87
1413,389.87
1414,393.79
1415,389.53
1416,390.74
1417,391.63
1418,391.0
1419,391.0
1420,392.83
1421,392.83
1422,394.74
1423,394.67
1424,396.24
1425,394.44
1426,388.0
1427,390.25
1428,392.85
1429,392.89
1430,392.18
1431,387.46
1432,389.54
1433,391.56
1434,390.23
1435,389.34
1436,389.5
1437,395.15
1438,393.83
1439,399.14
1440,395.89
1441,395.75
1442,396.0
1443,396.84
1444,397.54
1445,399.77
1446,397.69
1447,392.92
1448,396.45
1449,398.0
1450,397.9
1451,396.45
1452,395.0
1453,395.0
1454,395.0
1455,395.0
1456,394.54
1457,392.62
1458,392.62
1459,396.45
1460,396.45
1461,396.45
1462,396.45
1463,396.45
1464,395.3
1465,399.32
1466,397.0
1467,396.99
1468,396.99
1469,396.99
1470,396.99
1471,398.74
1472,399.06
1473,396.69
1474,420.0
1475,416.77
1476,414.01
1477,419.47
1478,422.2
1479,416.52
1480,422.36
1481,421.98
1482,420.0
1483,421.92
1484,417.46
1485,420.71
1486,422.78
1487,420.21
1488,420.83
1489,420.74
1490,414.99
1491,410.0
1492,414.99
1493,412.68
1494,414.9
1495,414.1
1496,418.72
1497,419.5
1498,420.0
1499,417.0
1500,419.38
1501,417.0
1502,415.0
1503,417.22
1504,415.0
1505,414.06
1506,413.79
1507,415.0
1508,417.0
1509,417.0
1510,415.57
1511,415.5
1512,420.1
1513,419.87
1514,415.51
1515,416.78
1516,417.47
1517,417.8
1518,418.0
1519,416.97
1520,418.49
1521,418.0
1522,418.14
1523,418.15
1524,419.99
1525,419.99
1526,420.79
1527,421.0
1528,422.0
1529,422.0
1530,422.0
1531,434.0
1532,435.0
1533,438.0
1534,436.38
1535,436.71
1536,433.62
1537,433.33
1538,434.0
1539,436.51
1540,439.0
1541,442.01
1542,448.79
1543,454.97
1544,447.56
1545,449.5
1546,454.99
1547,452.24
1548,453.98
1549,467.39
1550,467.3
1551,430.0
1552,410.0
1553,417.77
1554,426.27
1555,423.92
1556,424.74
1557,434.12
1558,432.57
1559,429.12
1560,420.0
1561,425.56
1562,427.43
1563,430.0
1564,430.26
1565,424.28
1566,428.81
1567,423.33
1568,426.11
1569,430.0
1570,435.0
1571,436.69
1572,435.45
1573,437.0
1574,435.55
1575,428.03
1576,428.03
1577,431.53
1578,431.53
1579,436.0
1580,437.9
1581,431.96
1582,431.96
1583,431.96
1584,435.0
1585,439.94
1586,439.89
1587,438.81
1588,438.81
1589,438.81
1590,439.56
1591,438.02
1592,433.83
1593,436.25
1594,434.34
1595,429.86
1596,436.67
1597,436.67
1598,436.67
1599,438.86
1600,437.01
1601,439.03
1602,441.0
1603,440.62
1604,443.02
1605,445.0
1606,444.84
1607,442.01
1608,449.99
1609,446.9
1610,446.9
1611,450.0
1612,448.0
1613,446.4
1614,445.36
1615,445.01
1616,442.79
1617,445.5
1618,447.61
1619,449.0
1620,450.0
1621,454.99
1622,452.52
1623,452.67
1624,454.75
1625,458.34
1626,456.72
1627,456.71
1628,453.87
1629,452.92
1630,454.59
1631,454.89
1632,459.4
1633,456.63
1634,462.0
1635,461.37
1636,461.65
1637,461.05
1638,462.0
1639,462.0
1640,464.63
1641,464.3
1642,465.99
1643,463.91
